"cod_elettorale","cod_istat","cod_catastale","desc_comune","cod_comune","desc_provincia","cod_provincia","desc_regione","cod_regione","ele_f","ele_m","ele_t","vot_f","vot_m","vot_t","perc_affluenza","pos_candidato","cognome","nome","voti_candidato","perc_candidato","eletto","pos_lista","nome_lista","voti_lista","perc_lista"
"030570230","018025","B447","CALVIGNANO","0230","PAVIA","057","LOMBARDIA","03",56,54,110,41,37,78,70.91,4,"GRAMEGNA","ROSSANO",78,100,"S",4,"CALVIGNANO FUTURA",78,100
"030570230","018025","B447","CALVIGNANO","0230","PAVIA","057","LOMBARDIA","03",56,54,110,41,37,78,70.91,1,"DI BARTOLO","ROBERTO ANTONINO",0,0,NA,1,"ALLEANZA PER IL TERRITORIO E IL FEDERALISMO CALVIGNANO CIVICA",0,0
"030570230","018025","B447","CALVIGNANO","0230","PAVIA","057","LOMBARDIA","03",56,54,110,41,37,78,70.91,2,"PICERNO","FEDERICO",0,0,NA,2,"PROGETTO POPOLARE",0,0
"030570230","018025","B447","CALVIGNANO","0230","PAVIA","057","LOMBARDIA","03",56,54,110,41,37,78,70.91,3,"OMODEO ZORINI","LUCA",0,0,NA,3,"LOMBARDIA IDEALE",0,0
"030570230","018025","B447","CALVIGNANO","0230","PAVIA","057","LOMBARDIA","03",56,54,110,41,37,78,70.91,5,"GIARIN","ENDO",0,0,NA,5,"UNITI PER CAMBIARE",0,0
"030570230","018025","B447","CALVIGNANO","0230","PAVIA","057","LOMBARDIA","03",56,54,110,41,37,78,70.91,6,"SARCINA","RAFFAELE",0,0,NA,6,"DMS MOVIMENTO DEMOCRAZIA SOCIALE",0,0
"030570230","018025","B447","CALVIGNANO","0230","PAVIA","057","LOMBARDIA","03",56,54,110,41,37,78,70.91,7,"BILOTTA","GIUSEPPE ",0,0,NA,7,"MOVIMENTO ITALIA PIU' BELLA",0,0
"030570230","018025","B447","CALVIGNANO","0230","PAVIA","057","LOMBARDIA","03",56,54,110,41,37,78,70.91,8,"GERMANO","DANIELE",0,0,NA,8,"VOTO LIBERO",0,0
"030570230","018025","B447","CALVIGNANO","0230","PAVIA","057","LOMBARDIA","03",56,54,110,41,37,78,70.91,9,"PUGLIESE","GIANLUCA",0,0,NA,9,"LISTA CIVICA INSIEME",0,0
"030860040","012004","A371","ARCISATE","0040","VARESE","086","LOMBARDIA","03",4347,4210,8557,2146,1961,4107,48,2,"CENTORRINO","ANTONINO",1720,42.82,"S",2,"UNITI PER ARCISATE",1720,42.82
"030860040","012004","A371","ARCISATE","0040","VARESE","086","LOMBARDIA","03",4347,4210,8557,2146,1961,4107,48,1,"CAVALLUZZI","GIAN LUCA",1592,39.63,NA,1,"ARCISATE OGGI E DOMANI",1592,39.63
"030860040","012004","A371","ARCISATE","0040","VARESE","086","LOMBARDIA","03",4347,4210,8557,2146,1961,4107,48,4,"VINONI","GIACOMO",364,9.06,NA,4,"ARCISATE NEL CUORE",364,9.06
"030860040","012004","A371","ARCISATE","0040","VARESE","086","LOMBARDIA","03",4347,4210,8557,2146,1961,4107,48,3,"MOZZANICA","MAURIZIO",341,8.49,NA,3,"CENTRO DESTRA PER ARCISATE",341,8.49
"030860350","012042","C139","CASTELLANZA","0350","VARESE","086","LOMBARDIA","03",6230,5792,12022,2952,2682,5634,46.86,3,"BORRONI","CRISTINA",2598,46.97,"S",3,"PARTECIPIAMO CRISTINA BORRONI SINDACO",2598,46.97
"030860350","012042","C139","CASTELLANZA","0350","VARESE","086","LOMBARDIA","03",6230,5792,12022,2952,2682,5634,46.86,4,"PAGANI","PAOLO",1316,23.79,NA,4,"SIAMO CASTELLANZA-LEGA SALVINI LOMBARDIA",1316,23.79
"030860350","012042","C139","CASTELLANZA","0350","VARESE","086","LOMBARDIA","03",6230,5792,12022,2952,2682,5634,46.86,1,"LISTA","LUCIANO",886,16.02,NA,1,"CASTELLANZA PROTAGONISTA-FRATELLI D'ITALIA-FORZA ITALIA-PPE",886,16.02
